ticker,timeframe,bar_close_utc,bar_close_est,signal,close_price
LLY,4H,2025-11-03 18:30 UTC,2025-11-03 13:30 ET,LONG,896.86
LLY,3H,2025-10-31 13:30 UTC,2025-10-31 09:30 ET,LONG,857.45
MRNA,2H,2025-10-31 13:30 UTC,2025-10-31 09:30 ET,LONG,27.235
INTU,3H,2025-10-30 13:30 UTC,2025-10-30 09:30 ET,SHORT,663.8199
CRM,3H,2025-10-29 19:30 UTC,2025-10-29 15:30 ET,SHORT,251.59
INTU,2H,2025-10-29 15:30 UTC,2025-10-29 11:30 ET,SHORT,655.37
WMT,4H,2025-10-29 13:30 UTC,2025-10-29 09:30 ET,SHORT,102.976
MRNA,3H,2025-10-29 13:30 UTC,2025-10-29 09:30 ET,SHORT,25.065
WMT,3H,2025-10-28 13:30 UTC,2025-10-28 09:30 ET,SHORT,103.49
WMT,2H,2025-10-27 19:30 UTC,2025-10-27 15:30 ET,SHORT,104.47
CRM,2H,2025-10-27 15:30 UTC,2025-10-27 11:30 ET,SHORT,255.77
LLY,2H,2025-10-24 15:30 UTC,2025-10-24 11:30 ET,LONG,830.8
